NAME,LATITUDE,LONGITUDE
MUD,57,-131.87
MURRAY ICE CAP,81.35,-69.25
MUSSELL,60.73,-140.703
N ELLESMERE ICE CAP,82,-76
NADAHINI,59.73,-136.68
NADEN,50.035,-122.783
NATAVAS,57.07,-130.82
NEAL,50.15,-122.71
NEEDLES,50.14,-122.725
NETLAND,59.389,-137.894
NEW BRUNSWICK,60.8797,-140.3885
NEW MOON,53.92,-127.77
NIRUKITTUQ,79.55,-83.3
NOEICK,52.1,-126.28
NORDIC,51.42,-117.71
NORTH PITT,49.865,-122.977
NOUSE CREEK,60.001,-138.423
NOVA SCOTIA SOUTH,60.8797,-140.3885
NOVA SCOTIA WEST,60.8797,-140.3885
OLGILVIE,60.73,-140.703
ON-OFF,60.41,-138.735
OTTO,81.4173,-82.9439
OVERLORD,50.02,-122.83
PARRISH,79.7808,-76.5327
PATHETIC,51.05,-122.88
PENNY ICE CAP,67.3,-66.1
PENTICE ICECAPS SE,59.318,-137.372
PER ARDUA,81.52,-76.22
PER ARDUA,81.45,-76.58
PESHAK,59.33,-137.028
PEYTO,51.65991,-116.5638
PHILLIPS INLET NORTH,82.0769,-84.7807
PHOENIX,49.89,-122.966
PIKE,49.882,-122.969
PLACE,50.425,-122.601
POTSLAG,61.116,-140.845
PRINCE OF WALES ICE FIELD,78.3,-79.8
PURGATORY,52.15,-126.37
QUEEN MARY WEST,60.67,-139.75
QUEEN MARY WEST GLACIER,60.427,-139.501
QUVIAGIVAA,79.55,-83.34
RAE,50.62,-114.98
RAINY HOLLOW,59.521,-136.647
RAM RIVER,51.85,-116.48
RANGE,59.826,-137.768
RENDU D,59.002,-133.709
RIPSAW,50.043,-122.78
ROBSON,53.15,-119.57
ROCKFALL,59.78,-137.8
RUSTY (FOX),61.2,-140.302
SALMON,56.16,-130.09
SASKATCHEWAN,52.14,-117.19
SASKATCHEWAN,61.116,-140.845
SCOTT,52.43,-118.58
SENTINEL,49.886,-122.98
SHATTER,50.059,-122.785
SHUDDER,50.068,-122.789
SIMMONS ICE CAP,81.35,-68.83
SINNAMOKST SINNAMOXT,59.225,-137.103
SITTAKANAY ICE FIELD,58.38,-133.36
SMALL RIVER,53.17,-119.48
SOUTH ELLESMERE ICE FIELD,76.6,-79.9
SOUTH ICE CAP,75.42,-115.02
SOUTH PITT,49.856,-122.959
SOUTHEAST LYELL,51.92,-117.63
SOUTHEAST2,75.0577,-81.5122
SPEARHEAD,50.089,-122.849
SPHINX,49.92,-122.95
SPHINX,79.5201,-91.3815
SPRING,61.076,-139.97
SPRING,61.076,-139.97
SPRING 1ST NORTH,61.2423,-140.1813
SPRING 2ND NORTH,61.2423,-140.1813
SPRING WEST,61.1469,-139.9728
ST CLARE 3,61.301,-140.413
ST CLARE 4,61.285,-140.354
ST CLARE 5,61.7,-140.1667
ST CLARE 6,61.35,-140.1167
ST PATRICK BAY NE ICE CAP,81.95,-64.5
ST PATRICK BAY SW ICE CAP,81.93,-64.53
STAIRCASE,49.93,-122.6
STAIRCASE (CA2N003CH074),59.28,-137.556
STEELE,60,-130
STEELE,61.242,-140.181
STEELE A,61.2423,-140.1813
STEELE B,61.2423,-140.1813
STEELE WOLF CREEK,61.2423,-140.1813
STOTEKIN,59.224,-137.047
STRAND,79.4032,-89.65
SUPERGUKSOAK,58.95,-63.78
SURF,50.5,-123.97
SYDKAP,76.7885,-85.5332
SYKORA,50.87,-123.58
TAGGART LAKE,78.3974,-80.7072
TAGHAM,59.222,-137.124
TATS,59.68,-137.77
TCHAIKAZAN,51.02,-123.78
TENAS TIKA,59.172,-136.995
TENAS TIKKE,59.172,-136.995
TERRA NIVEA,62.27,-66.51
TERRIFIC,50.43,-123.43
THOMPSON,79.47,-90.17
THREE T,59.133,-137.023
THUNDERCLAP,49.85,-122.65
TIEDEMANN,51.33,-125.05
TIKKE,59.2914,-137.103
TIKKE 1ST NORTH ,59.2914,-137.103
TIKKE 2ND NORTH ,59.2914,-137.103
TIM WILLIAMS,56.55,-130
TITTMANN,61.116,-140.845
TKOPE,59.292,-136.812
TOBY,50.23,-116.13
TONAHNOUS TAMAHNOUS,59.427,-137.145
TOWAGH,59.386,-137.223
TOWAGH 1ST NORTH ,59.408,-137.195
TOWAGH 1ST SOUTH ,59.386,-137.223
TRAPRIDGE HYENA,61.222,-140.354
TREMOR,50.061,-122.814
TROREY,50.066,-122.834
TSIATKA,59.367,-137.083
TSOLOSS,51.38,-123.87
TULSEQUAH,58.83,-133.8
TWEEDSMUIR,59.815,-138.145
